# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
3.3932e-02 1.1376e+04 1.2344e+02 -2.9075e+01 2.3122e+04 1.1686e+04 7.1330e+01 7.6819e+02 1.8496e+02 -1.6868e+01 -2.6186e+00 1.6421e+03 1.0151e+03 0.0000e+00 0.0000e+00
3.9069e-02 9.8140e+03 1.3294e+02 -2.5689e+01 2.0047e+04 1.0165e+04 9.3036e+01 7.5938e+02 2.2516e+02 -2.7300e+01 -7.6928e+00 1.5523e+03 9.5432e+02 0.0000e+00 0.0000e+00
4.4984e-02 8.5053e+03 1.4277e+02 -2.1670e+01 1.7484e+04 8.9090e+03 1.1764e+02 7.4834e+02 2.6929e+02 -3.9405e+01 -1.3761e+01 1.4529e+03 8.9002e+02 0.0000e+00 0.0000e+00
5.1795e-02 7.5495e+03 1.5534e+02 -1.7624e+01 1.5639e+04 8.0060e+03 1.4594e+02 7.3465e+02 3.1779e+02 -5.3924e+01 -2.1269e+01 1.3445e+03 8.2369e+02 0.0000e+00 0.0000e+00
5.9636e-02 6.8049e+03 1.6975e+02 -1.2518e+01 1.4230e+04 7.3353e+03 1.7968e+02 7.1787e+02 3.7162e+02 -7.1430e+01 -3.0530e+01 1.2289e+03 7.5718e+02 0.0000e+00 0.0000e+00
6.8665e-02 5.9874e+03 1.7934e+02 -4.0370e+00 1.2670e+04 6.5870e+03 2.1958e+02 6.9756e+02 4.3015e+02 -9.0826e+01 -4.0883e+01 1.1100e+03 6.9176e+02 0.0000e+00 0.0000e+00
7.9060e-02 4.9178e+03 1.7591e+02 8.6856e+00 1.0574e+04 5.5563e+03 2.6153e+02 6.7339e+02 4.8774e+02 -1.0865e+02 -5.0364e+01 9.9250e+02 6.2759e+02 0.0000e+00 0.0000e+00
9.1030e-02 3.7647e+03 1.6021e+02 2.2088e+01 8.2670e+03 4.4053e+03 2.9638e+02 6.4528e+02 5.3445e+02 -1.2137e+02 -5.7046e+01 8.7919e+02 5.6450e+02 0.0000e+00 0.0000e+00
1.0481e-01 2.9909e+03 1.4873e+02 3.0342e+01 6.7183e+03 3.6379e+03 3.2001e+02 6.1349e+02 5.6669e+02 -1.2993e+02 -6.1520e+01 7.6930e+02 5.0373e+02 0.0000e+00 0.0000e+00
1.2068e-01 2.5690e+03 1.4486e+02 3.5238e+01 5.8976e+03 3.2451e+03 3.4085e+02 5.7840e+02 5.9308e+02 -1.3790e+02 -6.5681e+01 6.6345e+02 4.4720e+02 0.0000e+00 0.0000e+00
1.3895e-01 2.0487e+03 1.3013e+02 4.1819e+01 4.8448e+03 2.7222e+03 3.6053e+02 5.4029e+02 6.1396e+02 -1.4344e+02 -6.8379e+01 5.6648e+02 3.9476e+02 0.0000e+00 0.0000e+00
1.5999e-01 1.5359e+03 1.0926e+02 4.5722e+01 3.7676e+03 2.1723e+03 3.6551e+02 4.9979e+02 6.1570e+02 -1.4313e+02 -6.7813e+01 4.7986e+02 3.4575e+02 0.0000e+00 0.0000e+00
1.8421e-01 1.2508e+03 9.4984e+01 4.5370e+01 3.1637e+03 1.8693e+03 3.6144e+02 4.5791e+02 6.0523e+02 -1.4039e+02 -6.5899e+01 4.0174e+02 3.0126e+02 0.0000e+00 0.0000e+00
2.1210e-01 9.5648e+02 7.6528e+01 4.4103e+01 2.5169e+03 1.5332e+03 3.5205e+02 4.1538e+02 5.8610e+02 -1.3553e+02 -6.2740e+01 3.3371e+02 2.6095e+02 0.0000e+00 0.0000e+00
2.4421e-01 7.4492e+02 5.9739e+01 4.0407e+01 2.0328e+03 1.2783e+03 3.3308e+02 3.7313e+02 5.5484e+02 -1.2804e+02 -5.8162e+01 2.7499e+02 2.2469e+02 0.0000e+00 0.0000e+00
2.8118e-01 5.6967e+02 4.3427e+01 3.5331e+01 1.6155e+03 1.0536e+03 3.0937e+02 3.3193e+02 5.1694e+02 -1.1941e+02 -5.2993e+01 2.2498e+02 1.9237e+02 0.0000e+00 0.0000e+00
3.2375e-01 4.3629e+02 2.8450e+01 2.9188e+01 1.2813e+03 8.6925e+02 2.8087e+02 2.9249e+02 4.7298e+02 -1.0973e+02 -4.7337e+01 1.8283e+02 1.6374e+02 0.0000e+00 0.0000e+00
3.7276e-01 3.3055e+02 1.5005e+01 2.2483e+01 1.0023e+03 7.1135e+02 2.4946e+02 2.5533e+02 4.2543e+02 -9.9545e+01 -4.1541e+01 1.4763e+02 1.3854e+02 0.0000e+00 0.0000e+00
4.2919e-01 2.4831e+02 3.3506e+00 1.5648e+01 7.7309e+02 5.7751e+02 2.1651e+02 2.2083e+02 3.7616e+02 -8.9177e+01 -3.5823e+01 1.1844e+02 1.1648e+02 0.0000e+00 0.0000e+00
4.9417e-01 1.8447e+02 -6.2908e+00 9.1395e+00 5.8499e+02 4.6387e+02 1.8328e+02 1.8924e+02 3.2678e+02 -7.8849e+01 -3.0345e+01 9.4380e+01 9.7277e+01 0.0000e+00 0.0000e+00
5.6899e-01 1.3509e+02 -1.3723e+01 3.3742e+00 4.3173e+02 3.6738e+02 1.5093e+02 1.6064e+02 2.7865e+02 -6.8731e+01 -2.5226e+01 7.4635e+01 8.0644e+01 0.0000e+00 0.0000e+00
6.5513e-01 9.7184e+01 -1.8810e+01 -1.2820e+00 3.0861e+02 2.8589e+02 1.2051e+02 1.3503e+02 2.3294e+02 -5.8949e+01 -2.0549e+01 5.8506e+01 6.6312e+01 0.0000e+00 0.0000e+00
7.5431e-01 6.8413e+01 -2.1529e+01 -4.5667e+00 2.1195e+02 2.1782e+02 9.2963e+01 1.1233e+02 1.9059e+02 -4.9620e+01 -1.6373e+01 4.5397e+01 5.4036e+01 0.0000e+00 0.0000e+00
8.6851e-01 4.6954e+01 -2.2026e+01 -6.3859e+00 1.3859e+02 1.6195e+02 6.9031e+01 9.2434e+01 1.5239e+02 -4.0873e+01 -1.2734e+01 3.4811e+01 4.3591e+01 0.0000e+00 0.0000e+00
1.0000e+00 3.1329e+01 -2.0665e+01 -6.8610e+00 8.5416e+01 1.1723e+02 4.9210e+01 7.5177e+01 1.1890e+02 -3.2855e+01 -9.6514e+00 2.6339e+01 3.4782e+01 0.0000e+00 0.0000e+00
