#           k/h    P           
    0.34289E-01    0.17880E+05
    0.34634E-01    0.17711E+05
    0.34982E-01    0.17543E+05
    0.35333E-01    0.17375E+05
    0.35689E-01    0.17207E+05
    0.36047E-01    0.17041E+05
    0.36409E-01    0.16875E+05
    0.36775E-01    0.16710E+05
    0.37145E-01    0.16547E+05
    0.37518E-01    0.16384E+05
    0.37895E-01    0.16223E+05
    0.38276E-01    0.16062E+05
    0.38661E-01    0.15904E+05
    0.39049E-01    0.15746E+05
    0.39442E-01    0.15591E+05
    0.39838E-01    0.15437E+05
    0.40239E-01    0.15284E+05
    0.40643E-01    0.15133E+05
    0.41052E-01    0.14984E+05
    0.41464E-01    0.14837E+05
    0.41881E-01    0.14692E+05
    0.42302E-01    0.14549E+05
    0.42727E-01    0.14407E+05
    0.43156E-01    0.14268E+05
    0.43590E-01    0.14131E+05
    0.44028E-01    0.13996E+05
    0.44471E-01    0.13863E+05
    0.44918E-01    0.13733E+05
    0.45369E-01    0.13605E+05
    0.45825E-01    0.13480E+05
    0.46286E-01    0.13358E+05
    0.46751E-01    0.13239E+05
    0.47221E-01    0.13123E+05
    0.47695E-01    0.13010E+05
    0.48174E-01    0.12900E+05
    0.48659E-01    0.12793E+05
    0.49148E-01    0.12688E+05
    0.49642E-01    0.12587E+05
    0.50141E-01    0.12487E+05
    0.50644E-01    0.12390E+05
    0.51153E-01    0.12295E+05
    0.51668E-01    0.12202E+05
    0.52187E-01    0.12112E+05
    0.52711E-01    0.12023E+05
    0.53241E-01    0.11936E+05
    0.53776E-01    0.11850E+05
    0.54317E-01    0.11766E+05
    0.54862E-01    0.11684E+05
    0.55414E-01    0.11603E+05
    0.55971E-01    0.11523E+05
    0.56533E-01    0.11444E+05
    0.57101E-01    0.11367E+05
    0.57675E-01    0.11290E+05
    0.58255E-01    0.11214E+05
    0.58840E-01    0.11139E+05
    0.59432E-01    0.11064E+05
    0.60029E-01    0.10989E+05
    0.60632E-01    0.10915E+05
    0.61242E-01    0.10840E+05
    0.61857E-01    0.10766E+05
    0.62479E-01    0.10691E+05
    0.63107E-01    0.10615E+05
    0.63741E-01    0.10539E+05
    0.64382E-01    0.10462E+05
    0.65029E-01    0.10384E+05
    0.65682E-01    0.10305E+05
    0.66342E-01    0.10224E+05
    0.67009E-01    0.10142E+05
    0.67683E-01    0.10056E+05
    0.68363E-01    0.99689E+04
    0.69050E-01    0.98785E+04
    0.69744E-01    0.97853E+04
    0.70445E-01    0.96895E+04
    0.71153E-01    0.95913E+04
    0.71868E-01    0.94910E+04
    0.72590E-01    0.93888E+04
    0.73320E-01    0.92849E+04
    0.74057E-01    0.91793E+04
    0.74801E-01    0.90714E+04
    0.75553E-01    0.89608E+04
    0.76312E-01    0.88472E+04
    0.77079E-01    0.87302E+04
    0.77854E-01    0.86094E+04
    0.78636E-01    0.84852E+04
    0.79426E-01    0.83581E+04
    0.80225E-01    0.82288E+04
    0.81031E-01    0.80978E+04
    0.81845E-01    0.79656E+04
    0.82668E-01    0.78328E+04
    0.83499E-01    0.76995E+04
    0.84338E-01    0.75659E+04
    0.85185E-01    0.74324E+04
    0.86041E-01    0.72991E+04
    0.86906E-01    0.71662E+04
    0.87780E-01    0.70341E+04
    0.88662E-01    0.69031E+04
    0.89553E-01    0.67735E+04
    0.90453E-01    0.66456E+04
    0.91362E-01    0.65198E+04
    0.92280E-01    0.63962E+04
    0.93208E-01    0.62753E+04
    0.94144E-01    0.61572E+04
    0.95091E-01    0.60423E+04
    0.96046E-01    0.59307E+04
    0.97011E-01    0.58227E+04
    0.97986E-01    0.57184E+04
    0.98971E-01    0.56182E+04
    0.99966E-01    0.55222E+04
    0.10097E+00    0.54306E+04
    0.10199E+00    0.53436E+04
    0.10301E+00    0.52610E+04
    0.10405E+00    0.51829E+04
    0.10509E+00    0.51093E+04
    0.10615E+00    0.50401E+04
    0.10721E+00    0.49752E+04
    0.10829E+00    0.49145E+04
    0.10938E+00    0.48575E+04
    0.11048E+00    0.48042E+04
    0.11159E+00    0.47541E+04
    0.11271E+00    0.47070E+04
    0.11384E+00    0.46625E+04
    0.11499E+00    0.46201E+04
    0.11614E+00    0.45794E+04
    0.11731E+00    0.45399E+04
    0.11849E+00    0.45013E+04
    0.11968E+00    0.44630E+04
    0.12088E+00    0.44246E+04
    0.12210E+00    0.43857E+04
    0.12333E+00    0.43459E+04
    0.12457E+00    0.43048E+04
    0.12582E+00    0.42620E+04
    0.12708E+00    0.42172E+04
    0.12836E+00    0.41702E+04
    0.12965E+00    0.41208E+04
    0.13095E+00    0.40687E+04
    0.13227E+00    0.40140E+04
    0.13360E+00    0.39565E+04
    0.13494E+00    0.38963E+04
    0.13630E+00    0.38334E+04
    0.13767E+00    0.37682E+04
    0.13905E+00    0.37006E+04
    0.14045E+00    0.36311E+04
    0.14186E+00    0.35598E+04
    0.14328E+00    0.34872E+04
    0.14472E+00    0.34136E+04
    0.14618E+00    0.33394E+04
    0.14765E+00    0.32651E+04
    0.14913E+00    0.31911E+04
    0.15063E+00    0.31179E+04
    0.15214E+00    0.30459E+04
    0.15367E+00    0.29758E+04
    0.15522E+00    0.29079E+04
    0.15678E+00    0.28427E+04
    0.15835E+00    0.27805E+04
    0.15994E+00    0.27217E+04
    0.16155E+00    0.26666E+04
    0.16318E+00    0.26151E+04
    0.16482E+00    0.25674E+04
    0.16647E+00    0.25235E+04
    0.16815E+00    0.24831E+04
    0.16984E+00    0.24459E+04
    0.17154E+00    0.24118E+04
    0.17327E+00    0.23802E+04
    0.17501E+00    0.23509E+04
    0.17677E+00    0.23235E+04
    0.17854E+00    0.22974E+04
    0.18034E+00    0.22723E+04
    0.18215E+00    0.22478E+04
    0.18398E+00    0.22235E+04
    0.18583E+00    0.21988E+04
    0.18770E+00    0.21734E+04
    0.18958E+00    0.21468E+04
    0.19149E+00    0.21188E+04
    0.19341E+00    0.20890E+04
    0.19536E+00    0.20571E+04
    0.19732E+00    0.20233E+04
    0.19930E+00    0.19874E+04
    0.20131E+00    0.19497E+04
    0.20333E+00    0.19105E+04
    0.20537E+00    0.18700E+04
    0.20744E+00    0.18288E+04
    0.20952E+00    0.17871E+04
    0.21163E+00    0.17456E+04
    0.21375E+00    0.17045E+04
    0.21590E+00    0.16643E+04
    0.21807E+00    0.16254E+04
    0.22026E+00    0.15881E+04
    0.22248E+00    0.15526E+04
    0.22471E+00    0.15192E+04
    0.22697E+00    0.14881E+04
    0.22925E+00    0.14593E+04
    0.23156E+00    0.14327E+04
    0.23388E+00    0.14082E+04
    0.23624E+00    0.13856E+04
    0.23861E+00    0.13647E+04
    0.24101E+00    0.13451E+04
    0.24343E+00    0.13264E+04
    0.24588E+00    0.13083E+04
    0.24835E+00    0.12905E+04
    0.25084E+00    0.12724E+04
    0.25336E+00    0.12538E+04
    0.25591E+00    0.12344E+04
    0.25848E+00    0.12141E+04
    0.26108E+00    0.11927E+04
    0.26370E+00    0.11703E+04
    0.26635E+00    0.11471E+04
    0.26903E+00    0.11231E+04
    0.27174E+00    0.10988E+04
    0.27447E+00    0.10743E+04
    0.27722E+00    0.10499E+04
    0.28001E+00    0.10259E+04
    0.28283E+00    0.10025E+04
    0.28567E+00    0.98010E+03
    0.28854E+00    0.95878E+03
    0.29144E+00    0.93872E+03
    0.29437E+00    0.91996E+03
    0.29733E+00    0.90249E+03
    0.30031E+00    0.88616E+03
    0.30333E+00    0.87080E+03
    0.30638E+00    0.85617E+03
    0.30946E+00    0.84204E+03
    0.31257E+00    0.82817E+03
    0.31571E+00    0.81437E+03
    0.31888E+00    0.80045E+03
    0.32209E+00    0.78626E+03
    0.32533E+00    0.77171E+03
    0.32860E+00    0.75676E+03
    0.33190E+00    0.74143E+03
    0.33523E+00    0.72584E+03
    0.33860E+00    0.71015E+03
    0.34201E+00    0.69456E+03
    0.34544E+00    0.67924E+03
    0.34892E+00    0.66437E+03
    0.35242E+00    0.65005E+03
    0.35596E+00    0.63636E+03
    0.35954E+00    0.62332E+03
    0.36316E+00    0.61092E+03
    0.36680E+00    0.59912E+03
    0.37049E+00    0.58783E+03
    0.37421E+00    0.57693E+03
    0.37798E+00    0.56628E+03
    0.38177E+00    0.55575E+03
    0.38561E+00    0.54523E+03
    0.38949E+00    0.53464E+03
    0.39340E+00    0.52397E+03
    0.39735E+00    0.51322E+03
    0.40135E+00    0.50246E+03
    0.40538E+00    0.49174E+03
    0.40946E+00    0.48116E+03
    0.41357E+00    0.47079E+03
    0.41773E+00    0.46072E+03
    0.42193E+00    0.45099E+03
    0.42617E+00    0.44162E+03
    0.43045E+00    0.43261E+03
    0.43478E+00    0.42391E+03
    0.43914E+00    0.41547E+03
    0.44356E+00    0.40722E+03
    0.44802E+00    0.39911E+03
    0.45252E+00    0.39109E+03
    0.45707E+00    0.38313E+03
    0.46166E+00    0.37520E+03
    0.46630E+00    0.36731E+03
    0.47099E+00    0.35950E+03
    0.47572E+00    0.35181E+03
    0.48050E+00    0.34428E+03
    0.48533E+00    0.33695E+03
    0.49021E+00    0.32981E+03
    0.49513E+00    0.32288E+03
    0.50011E+00    0.31614E+03
    0.50514E+00    0.30959E+03
    0.51021E+00    0.30319E+03
    0.51534E+00    0.29690E+03
    0.52052E+00    0.29070E+03
    0.52575E+00    0.28458E+03
    0.53104E+00    0.27855E+03
    0.53637E+00    0.27260E+03
    0.54176E+00    0.26675E+03
    0.54721E+00    0.26102E+03
    0.55271E+00    0.25542E+03
    0.55826E+00    0.24995E+03
    0.56387E+00    0.24462E+03
    0.56954E+00    0.23942E+03
    0.57526E+00    0.23433E+03
    0.58105E+00    0.22935E+03
    0.58689E+00    0.22446E+03
    0.59278E+00    0.21965E+03
    0.59874E+00    0.21492E+03
    0.60476E+00    0.21028E+03
    0.61084E+00    0.20572E+03
    0.61698E+00    0.20126E+03
    0.62318E+00    0.19690E+03
    0.62944E+00    0.19263E+03
    0.63577E+00    0.18846E+03
    0.64215E+00    0.18438E+03
    0.64861E+00    0.18038E+03
    0.65513E+00    0.17647E+03
    0.66171E+00    0.17264E+03
    0.66836E+00    0.16889E+03
    0.67508E+00    0.16521E+03
    0.68186E+00    0.16161E+03
    0.68872E+00    0.15808E+03
    0.69564E+00    0.15462E+03
    0.70263E+00    0.15123E+03
    0.70969E+00    0.14792E+03
    0.71682E+00    0.14467E+03
    0.72403E+00    0.14149E+03
    0.73130E+00    0.13838E+03
    0.73865E+00    0.13533E+03
    0.74608E+00    0.13234E+03
    0.75358E+00    0.12941E+03
    0.76115E+00    0.12655E+03
    0.76880E+00    0.12375E+03
    0.77653E+00    0.12100E+03
    0.78433E+00    0.11832E+03
    0.79221E+00    0.11569E+03
    0.80017E+00    0.11311E+03
    0.80822E+00    0.11059E+03
    0.81634E+00    0.10813E+03
    0.82454E+00    0.10571E+03
    0.83283E+00    0.10335E+03
    0.84120E+00    0.10104E+03
    0.84965E+00    0.98773E+02
    0.85819E+00    0.96558E+02
    0.86682E+00    0.94391E+02
    0.87553E+00    0.92270E+02
    0.88433E+00    0.90195E+02
    0.89322E+00    0.88164E+02
    0.90219E+00    0.86178E+02
    0.91126E+00    0.84234E+02
    0.92042E+00    0.82333E+02
    0.92967E+00    0.80473E+02
    0.93901E+00    0.78653E+02
    0.94845E+00    0.76873E+02
    0.95798E+00    0.75131E+02
    0.96761E+00    0.73428E+02
    0.97734E+00    0.71762E+02
    0.98716E+00    0.70132E+02
    0.99708E+00    0.68537E+02
    0.10071E+01    0.66978E+02
    0.10172E+01    0.65453E+02
    0.10274E+01    0.63961E+02
    0.10378E+01    0.62502E+02
    0.10482E+01    0.61075E+02
    0.10587E+01    0.59679E+02
    0.10694E+01    0.58314E+02
    0.10801E+01    0.56979E+02
    0.10910E+01    0.55674E+02
    0.11019E+01    0.54397E+02
    0.11130E+01    0.53149E+02
    0.11242E+01    0.51928E+02
    0.11355E+01    0.50735E+02
    0.11469E+01    0.49567E+02
    0.11584E+01    0.48426E+02
    0.11701E+01    0.47310E+02
    0.11818E+01    0.46218E+02
    0.11937E+01    0.45151E+02
    0.12057E+01    0.44108E+02
    0.12178E+01    0.43088E+02
    0.12301E+01    0.42091E+02
    0.12424E+01    0.41116E+02
    0.12549E+01    0.40163E+02
    0.12675E+01    0.39231E+02
    0.12803E+01    0.38320E+02
    0.12931E+01    0.37429E+02
    0.13061E+01    0.36559E+02
    0.13193E+01    0.35708E+02
    0.13325E+01    0.34876E+02
    0.13459E+01    0.34063E+02
    0.13594E+01    0.33268E+02
    0.13731E+01    0.32491E+02
    0.13869E+01    0.31731E+02
    0.14008E+01    0.30989E+02
    0.14149E+01    0.30264E+02
    0.14291E+01    0.29555E+02
    0.14435E+01    0.28862E+02
    0.14580E+01    0.28185E+02
    0.14727E+01    0.27523E+02
    0.14875E+01    0.26876E+02
    0.15024E+01    0.26244E+02
    0.15175E+01    0.25626E+02
    0.15328E+01    0.25023E+02
    0.15482E+01    0.24433E+02
    0.15637E+01    0.23856E+02
    0.15794E+01    0.23293E+02
    0.15953E+01    0.22743E+02
    0.16114E+01    0.22205E+02
    0.16275E+01    0.21680E+02
    0.16439E+01    0.21167E+02
    0.16604E+01    0.20665E+02
    0.16771E+01    0.20176E+02
    0.16940E+01    0.19697E+02
    0.17110E+01    0.19229E+02
    0.17282E+01    0.18772E+02
    0.17456E+01    0.18326E+02
    0.17631E+01    0.17890E+02
    0.17808E+01    0.17464E+02
    0.17987E+01    0.17048E+02
    0.18168E+01    0.16642E+02
    0.18351E+01    0.16245E+02
    0.18535E+01    0.15857E+02
    0.18721E+01    0.15479E+02
    0.18909E+01    0.15109E+02
    0.19099E+01    0.14747E+02
    0.19291E+01    0.14394E+02
    0.19485E+01    0.14050E+02
    0.19681E+01    0.13713E+02
    0.19879E+01    0.13384E+02
    0.20079E+01    0.13063E+02
    0.20280E+01    0.12749E+02
    0.20484E+01    0.12443E+02
    0.20690E+01    0.12144E+02
    0.20898E+01    0.11852E+02
    0.21108E+01    0.11567E+02
    0.21320E+01    0.11288E+02
    0.21535E+01    0.11016E+02
    0.21751E+01    0.10750E+02
    0.21970E+01    0.10491E+02
    0.22190E+01    0.10238E+02
    0.22413E+01    0.99905E+01
    0.22639E+01    0.97490E+01
    0.22866E+01    0.95132E+01
    0.23096E+01    0.92830E+01
    0.23328E+01    0.90582E+01
    0.23563E+01    0.88387E+01
    0.23799E+01    0.86244E+01
    0.24039E+01    0.84152E+01
    0.24280E+01    0.82109E+01
    0.24524E+01    0.80115E+01
    0.24771E+01    0.78168E+01
    0.25020E+01    0.76268E+01
    0.25271E+01    0.74412E+01
    0.25525E+01    0.72601E+01
    0.25782E+01    0.70833E+01
    0.26041E+01    0.69106E+01
    0.26302E+01    0.67421E+01
    0.26567E+01    0.65776E+01
    0.26834E+01    0.64171E+01
    0.27103E+01    0.62603E+01
    0.27376E+01    0.61073E+01
    0.27651E+01    0.59580E+01
    0.27929E+01    0.58122E+01
    0.28210E+01    0.56700E+01
    0.28493E+01    0.55311E+01
    0.28779E+01    0.53955E+01
    0.29069E+01    0.52633E+01
    0.29361E+01    0.51341E+01
    0.29656E+01    0.50081E+01
    0.29954E+01    0.48851E+01
    0.30255E+01    0.47651E+01
    0.30559E+01    0.46480E+01
    0.30866E+01    0.45336E+01
    0.31176E+01    0.44221E+01
    0.31490E+01    0.43132E+01
    0.31806E+01    0.42069E+01
    0.32126E+01    0.41033E+01
    0.32449E+01    0.40021E+01
    0.32775E+01    0.39033E+01
    0.33104E+01    0.38070E+01
    0.33437E+01    0.37130E+01
    0.33773E+01    0.36212E+01
    0.34112E+01    0.35317E+01
    0.34455E+01    0.34443E+01
    0.34801E+01    0.33591E+01
    0.35151E+01    0.32759E+01
    0.35504E+01    0.31948E+01
    0.35861E+01    0.31156E+01
    0.36222E+01    0.30384E+01
    0.36586E+01    0.29630E+01
    0.36953E+01    0.28895E+01
    0.37325E+01    0.28177E+01
    0.37700E+01    0.27477E+01
    0.38079E+01    0.26794E+01
    0.38462E+01    0.26128E+01
    0.38848E+01    0.25478E+01
    0.39239E+01    0.24844E+01
    0.39633E+01    0.24225E+01
    0.40031E+01    0.23622E+01
    0.40434E+01    0.23033E+01
    0.40840E+01    0.22459E+01
    0.41250E+01    0.21899E+01
    0.41665E+01    0.21352E+01
    0.42084E+01    0.20819E+01
    0.42507E+01    0.20299E+01
    0.42934E+01    0.19792E+01
    0.43365E+01    0.19297E+01
    0.43801E+01    0.18814E+01
    0.44241E+01    0.18343E+01
    0.44686E+01    0.17884E+01
    0.45135E+01    0.17436E+01
    0.45589E+01    0.16999E+01
    0.46047E+01    0.16573E+01
    0.46510E+01    0.16157E+01
    0.46977E+01    0.15752E+01
    0.47449E+01    0.15357E+01
    0.47926E+01    0.14971E+01
    0.48408E+01    0.14595E+01
    0.48894E+01    0.14228E+01
    0.49386E+01    0.13870E+01
    0.49882E+01    0.13522E+01
    0.50383E+01    0.13181E+01
    0.50890E+01    0.12849E+01
    0.51401E+01    0.12526E+01
    0.51918E+01    0.12210E+01
    0.52439E+01    0.11902E+01
    0.52966E+01    0.11602E+01
    0.53499E+01    0.11310E+01
    0.54036E+01    0.11024E+01
    0.54580E+01    0.10746E+01
    0.55128E+01    0.10474E+01
    0.55682E+01    0.10210E+01
    0.56242E+01    0.99517E+00
    0.56807E+01    0.97001E+00
    0.57378E+01    0.94547E+00
    0.57955E+01    0.92154E+00
    0.58537E+01    0.89821E+00
    0.59125E+01    0.87546E+00
    0.59720E+01    0.85328E+00
    0.60320E+01    0.83165E+00
    0.60926E+01    0.81056E+00
    0.61538E+01    0.79000E+00
    0.62157E+01    0.76995E+00
    0.62781E+01    0.75041E+00
    0.63412E+01    0.73135E+00
    0.64050E+01    0.71277E+00
    0.64693E+01    0.69466E+00
    0.65344E+01    0.67699E+00
    0.66000E+01    0.65978E+00
    0.66664E+01    0.64299E+00
    0.67334E+01    0.62662E+00
    0.68010E+01    0.61067E+00
    0.68694E+01    0.59511E+00
    0.69384E+01    0.57995E+00
    0.70082E+01    0.56517E+00
    0.70786E+01    0.55075E+00
    0.71497E+01    0.53670E+00
    0.72216E+01    0.52301E+00
    0.72942E+01    0.50966E+00
    0.73675E+01    0.49664E+00
    0.74415E+01    0.48396E+00
    0.75163E+01    0.47159E+00
    0.75918E+01    0.45953E+00
    0.76681E+01    0.44778E+00
    0.77452E+01    0.43633E+00
    0.78230E+01    0.42516E+00
    0.79017E+01    0.41428E+00
    0.79811E+01    0.40367E+00
    0.80613E+01    0.39333E+00
    0.81423E+01    0.38325E+00
    0.82241E+01    0.37342E+00
    0.83068E+01    0.36385E+00
    0.83903E+01    0.35451E+00
    0.84746E+01    0.34542E+00
    0.85598E+01    0.33655E+00
    0.86458E+01    0.32791E+00
    0.87327E+01    0.31949E+00
    0.88205E+01    0.31128E+00
    0.89091E+01    0.30328E+00
    0.89986E+01    0.29548E+00
    0.90891E+01    0.28788E+00
    0.91804E+01    0.28047E+00
    0.92727E+01    0.27325E+00
    0.93659E+01    0.26622E+00
    0.94600E+01    0.25936E+00
    0.95551E+01    0.25268E+00
    0.96511E+01    0.24617E+00
    0.97481E+01    0.23982E+00
    0.98461E+01    0.23364E+00
    0.99450E+01    0.22761E+00
    0.10045E+02    0.22174E+00
    0.10146E+02    0.21601E+00
    0.10248E+02    0.21044E+00
    0.10351E+02    0.20500E+00
    0.10455E+02    0.19970E+00
    0.10560E+02    0.19454E+00
    0.10666E+02    0.18951E+00
    0.10773E+02    0.18461E+00
    0.10882E+02    0.17984E+00
    0.10991E+02    0.17518E+00
    0.11101E+02    0.17065E+00
    0.11213E+02    0.16623E+00
    0.11326E+02    0.16192E+00
    0.11440E+02    0.15773E+00
    0.11554E+02    0.15364E+00
    0.11671E+02    0.14966E+00
    0.11788E+02    0.14578E+00
    0.11906E+02    0.14200E+00
    0.12026E+02    0.13831E+00
    0.12147E+02    0.13472E+00
    0.12269E+02    0.13122E+00
    0.12392E+02    0.12782E+00
    0.12517E+02    0.12450E+00
    0.12643E+02    0.12126E+00
    0.12770E+02    0.11811E+00
    0.12898E+02    0.11504E+00
    0.13028E+02    0.11205E+00
    0.13159E+02    0.10913E+00
    0.13291E+02    0.10629E+00
    0.13424E+02    0.10352E+00
    0.13559E+02    0.10083E+00
    0.13696E+02    0.98202E-01
    0.13833E+02    0.95644E-01
    0.13972E+02    0.93151E-01
    0.14113E+02    0.90723E-01
    0.14255E+02    0.88357E-01
    0.14398E+02    0.86053E-01
    0.14542E+02    0.83808E-01
    0.14689E+02    0.81620E-01
    0.14836E+02    0.79490E-01
    0.14985E+02    0.77414E-01
    0.15136E+02    0.75392E-01
    0.15288E+02    0.73422E-01
    0.15442E+02    0.71504E-01
    0.15597E+02    0.69634E-01
    0.15754E+02    0.67814E-01
    0.15912E+02    0.66040E-01
    0.16072E+02    0.64312E-01
    0.16233E+02    0.62629E-01
    0.16397E+02    0.60990E-01
    0.16561E+02    0.59393E-01
    0.16728E+02    0.57837E-01
    0.16896E+02    0.56322E-01
    0.17066E+02    0.54846E-01
    0.17237E+02    0.53408E-01
    0.17411E+02    0.52008E-01
    0.17585E+02    0.50644E-01
    0.17762E+02    0.49316E-01
    0.17941E+02    0.48022E-01
    0.18121E+02    0.46761E-01
    0.18303E+02    0.45533E-01
    0.18487E+02    0.44338E-01
    0.18673E+02    0.43173E-01
    0.18861E+02    0.42039E-01
    0.19050E+02    0.40934E-01
    0.19242E+02    0.39858E-01
    0.19435E+02    0.38810E-01
    0.19630E+02    0.37789E-01
    0.19828E+02    0.36795E-01
    0.20027E+02    0.35827E-01
    0.20228E+02    0.34884E-01
    0.20431E+02    0.33965E-01
    0.20637E+02    0.33071E-01
    0.20844E+02    0.32199E-01
    0.21054E+02    0.31351E-01
    0.21265E+02    0.30525E-01
    0.21479E+02    0.29720E-01
    0.21695E+02    0.28936E-01
    0.21913E+02    0.28173E-01
    0.22133E+02    0.27430E-01
    0.22356E+02    0.26706E-01
    0.22580E+02    0.26001E-01
    0.22807E+02    0.25315E-01
    0.23036E+02    0.24646E-01
    0.23268E+02    0.23995E-01
    0.23502E+02    0.23361E-01
    0.23738E+02    0.22744E-01
    0.23976E+02    0.22142E-01
    0.24217E+02    0.21557E-01
    0.24461E+02    0.20987E-01
    0.24707E+02    0.20431E-01
    0.24955E+02    0.19891E-01
    0.25206E+02    0.19364E-01
    0.25459E+02    0.18852E-01
    0.25715E+02    0.18352E-01
    0.25973E+02    0.17866E-01
    0.26234E+02    0.17393E-01
    0.26498E+02    0.16932E-01
    0.26764E+02    0.16483E-01
    0.27033E+02    0.16046E-01
    0.27305E+02    0.15620E-01
    0.27580E+02    0.15206E-01
    0.27857E+02    0.14803E-01
    0.28137E+02    0.14410E-01
    0.28419E+02    0.14027E-01
    0.28705E+02    0.13655E-01
    0.28994E+02    0.13292E-01
    0.29285E+02    0.12939E-01
    0.29579E+02    0.12595E-01
    0.29877E+02    0.12260E-01
    0.30177E+02    0.11934E-01
    0.30480E+02    0.11617E-01
    0.30786E+02    0.11308E-01
    0.31096E+02    0.11007E-01
    0.31408E+02    0.10714E-01
    0.31724E+02    0.10429E-01
    0.32043E+02    0.10151E-01
    0.32365E+02    0.98809E-02
    0.32690E+02    0.96177E-02
    0.33019E+02    0.93614E-02
    0.33351E+02    0.91119E-02
    0.33686E+02    0.88690E-02
    0.34024E+02    0.86325E-02
    0.34366E+02    0.84023E-02
    0.34712E+02    0.81781E-02
    0.35060E+02    0.79599E-02
    0.35413E+02    0.77474E-02
    0.35769E+02    0.75406E-02
    0.36128E+02    0.73392E-02
    0.36491E+02    0.71432E-02
    0.36858E+02    0.69523E-02
    0.37229E+02    0.67665E-02
    0.37603E+02    0.65856E-02
    0.37981E+02    0.64095E-02
    0.38362E+02    0.62381E-02
    0.38748E+02    0.60712E-02
    0.39137E+02    0.59088E-02
    0.39531E+02    0.57506E-02
    0.39928E+02    0.55967E-02
    0.40329E+02    0.54468E-02
    0.40734E+02    0.53009E-02
    0.41144E+02    0.51589E-02
    0.41557E+02    0.50206E-02
    0.41975E+02    0.48860E-02
    0.42397E+02    0.47550E-02
    0.42823E+02    0.46275E-02
    0.43253E+02    0.45033E-02
    0.43688E+02    0.43825E-02
    0.44127E+02    0.42649E-02
    0.44571E+02    0.41504E-02
    0.45019E+02    0.40389E-02
    0.45471E+02    0.39304E-02
    0.45928E+02    0.38248E-02
    0.46390E+02    0.37220E-02
    0.46856E+02    0.36219E-02
    0.47327E+02    0.35245E-02
    0.47802E+02    0.34297E-02
    0.48283E+02    0.33375E-02
    0.48768E+02    0.32476E-02
    0.49258E+02    0.31602E-02
    0.49753E+02    0.30751E-02
    0.50253E+02    0.29923E-02
    0.50758E+02    0.29117E-02
    0.51268E+02    0.28332E-02
    0.51784E+02    0.27568E-02
    0.52304E+02    0.26825E-02
    0.52830E+02    0.26101E-02
    0.53361E+02    0.25397E-02
    0.53897E+02    0.24712E-02
    0.54439E+02    0.24045E-02
    0.54986E+02    0.23395E-02
    0.55538E+02    0.22764E-02
    0.56097E+02    0.22148E-02
    0.56660E+02    0.21550E-02
    0.57230E+02    0.20967E-02
    0.57805E+02    0.20400E-02
    0.58386E+02    0.19848E-02
    0.58973E+02    0.19311E-02
    0.59565E+02    0.18789E-02
    0.60164E+02    0.18280E-02
    0.60769E+02    0.17785E-02
    0.61379E+02    0.17303E-02
    0.61996E+02    0.16834E-02
    0.62619E+02    0.16378E-02
    0.63249E+02    0.15934E-02
    0.63884E+02    0.15501E-02
    0.64526E+02    0.15081E-02
    0.65175E+02    0.14671E-02
    0.65830E+02    0.14273E-02
    0.66492E+02    0.13885E-02
    0.67160E+02    0.13508E-02
    0.67835E+02    0.13141E-02
    0.68516E+02    0.12784E-02
    0.69205E+02    0.12436E-02
    0.69901E+02    0.12098E-02
    0.70603E+02    0.11768E-02
    0.71313E+02    0.11448E-02
    0.72029E+02    0.11136E-02
    0.72753E+02    0.10833E-02
    0.73484E+02    0.10538E-02
    0.74223E+02    0.10250E-02
    0.74969E+02    0.99707E-03
    0.75722E+02    0.96987E-03
    0.76483E+02    0.94339E-03
    0.77252E+02    0.91764E-03
    0.78029E+02    0.89257E-03
    0.78813E+02    0.86818E-03
    0.79605E+02    0.84445E-03
    0.80405E+02    0.82135E-03
    0.81213E+02    0.79888E-03
    0.82029E+02    0.77702E-03
    0.82853E+02    0.75574E-03
    0.83686E+02    0.73504E-03
    0.84527E+02    0.71490E-03
    0.85377E+02    0.69530E-03
    0.86235E+02    0.67623E-03
    0.87102E+02    0.65768E-03
    0.87977E+02    0.63963E-03
    0.88861E+02    0.62206E-03
    0.89754E+02    0.60497E-03
    0.90656E+02    0.58834E-03
    0.91567E+02    0.57216E-03
    0.92487E+02    0.55642E-03
    0.93417E+02    0.54111E-03
    0.94356E+02    0.52621E-03
    0.95304E+02    0.51171E-03
    0.96262E+02    0.49761E-03
    0.97230E+02    0.48388E-03
    0.98207E+02    0.47053E-03
    0.99194E+02    0.45755E-03
    0.10019E+03    0.44491E-03
    0.10120E+03    0.43262E-03
    0.10221E+03    0.42066E-03
    0.10324E+03    0.40902E-03
    0.10428E+03    0.39770E-03
    0.10533E+03    0.38669E-03
    0.10639E+03    0.37598E-03
    0.10746E+03    0.36556E-03
    0.10854E+03    0.35542E-03
    0.10963E+03    0.34556E-03
    0.11073E+03    0.33596E-03
    0.11184E+03    0.32663E-03
    0.11296E+03    0.31755E-03
    0.11410E+03    0.30872E-03
    0.11525E+03    0.30013E-03
    0.11640E+03    0.29177E-03
    0.11757E+03    0.28364E-03
    0.11876E+03    0.27573E-03
    0.11995E+03    0.26804E-03
    0.12116E+03    0.26055E-03
    0.12237E+03    0.25328E-03
    0.12360E+03    0.24620E-03
    0.12485E+03    0.23931E-03
    0.12610E+03    0.23261E-03
    0.12737E+03    0.22610E-03
