#           k/h    P           
    0.64883E-04    0.28943E+03
    0.65535E-04    0.29224E+03
    0.66194E-04    0.29508E+03
    0.66859E-04    0.29794E+03
    0.67531E-04    0.30084E+03
    0.68210E-04    0.30376E+03
    0.68895E-04    0.30671E+03
    0.69588E-04    0.30969E+03
    0.70287E-04    0.31270E+03
    0.70993E-04    0.31573E+03
    0.71707E-04    0.31880E+03
    0.72427E-04    0.32189E+03
    0.73155E-04    0.32502E+03
    0.73891E-04    0.32818E+03
    0.74633E-04    0.33136E+03
    0.75383E-04    0.33458E+03
    0.76141E-04    0.33783E+03
    0.76906E-04    0.34111E+03
    0.77679E-04    0.34442E+03
    0.78460E-04    0.34777E+03
    0.79248E-04    0.35115E+03
    0.80045E-04    0.35456E+03
    0.80849E-04    0.35800E+03
    0.81662E-04    0.36147E+03
    0.82482E-04    0.36498E+03
    0.83311E-04    0.36853E+03
    0.84149E-04    0.37211E+03
    0.84994E-04    0.37572E+03
    0.85849E-04    0.37937E+03
    0.86711E-04    0.38305E+03
    0.87583E-04    0.38677E+03
    0.88463E-04    0.39053E+03
    0.89352E-04    0.39432E+03
    0.90250E-04    0.39815E+03
    0.91157E-04    0.40202E+03
    0.92073E-04    0.40592E+03
    0.92999E-04    0.40986E+03
    0.93933E-04    0.41384E+03
    0.94877E-04    0.41786E+03
    0.95831E-04    0.42192E+03
    0.96794E-04    0.42601E+03
    0.97767E-04    0.43015E+03
    0.98749E-04    0.43432E+03
    0.99742E-04    0.43854E+03
    0.10074E-03    0.44280E+03
    0.10176E-03    0.44710E+03
    0.10278E-03    0.45144E+03
    0.10381E-03    0.45582E+03
    0.10486E-03    0.46025E+03
    0.10591E-03    0.46472E+03
    0.10697E-03    0.46923E+03
    0.10805E-03    0.47378E+03
    0.10913E-03    0.47838E+03
    0.11023E-03    0.48303E+03
    0.11134E-03    0.48772E+03
    0.11246E-03    0.49245E+03
    0.11359E-03    0.49723E+03
    0.11473E-03    0.50206E+03
    0.11588E-03    0.50693E+03
    0.11705E-03    0.51185E+03
    0.11822E-03    0.51682E+03
    0.11941E-03    0.52184E+03
    0.12061E-03    0.52690E+03
    0.12182E-03    0.53202E+03
    0.12305E-03    0.53718E+03
    0.12429E-03    0.54240E+03
    0.12554E-03    0.54766E+03
    0.12680E-03    0.55298E+03
    0.12807E-03    0.55834E+03
    0.12936E-03    0.56376E+03
    0.13066E-03    0.56923E+03
    0.13197E-03    0.57476E+03
    0.13330E-03    0.58034E+03
    0.13464E-03    0.58597E+03
    0.13599E-03    0.59166E+03
    0.13736E-03    0.59740E+03
    0.13874E-03    0.60320E+03
    0.14013E-03    0.60905E+03
    0.14154E-03    0.61496E+03
    0.14296E-03    0.62093E+03
    0.14440E-03    0.62695E+03
    0.14585E-03    0.63304E+03
    0.14732E-03    0.63918E+03
    0.14880E-03    0.64538E+03
    0.15029E-03    0.65164E+03
    0.15180E-03    0.65797E+03
    0.15333E-03    0.66435E+03
    0.15487E-03    0.67080E+03
    0.15643E-03    0.67731E+03
    0.15800E-03    0.68388E+03
    0.15959E-03    0.69051E+03
    0.16119E-03    0.69721E+03
    0.16281E-03    0.70397E+03
    0.16445E-03    0.71080E+03
    0.16610E-03    0.71770E+03
    0.16777E-03    0.72466E+03
    0.16945E-03    0.73169E+03
    0.17116E-03    0.73879E+03
    0.17288E-03    0.74595E+03
    0.17462E-03    0.75319E+03
    0.17637E-03    0.76049E+03
    0.17814E-03    0.76787E+03
    0.17993E-03    0.77532E+03
    0.18174E-03    0.78284E+03
    0.18357E-03    0.79043E+03
    0.18541E-03    0.79809E+03
    0.18728E-03    0.80583E+03
    0.18916E-03    0.81365E+03
    0.19106E-03    0.82154E+03
    0.19298E-03    0.82950E+03
    0.19492E-03    0.83755E+03
    0.19688E-03    0.84567E+03
    0.19886E-03    0.85386E+03
    0.20086E-03    0.86214E+03
    0.20287E-03    0.87050E+03
    0.20491E-03    0.87894E+03
    0.20697E-03    0.88746E+03
    0.20905E-03    0.89606E+03
    0.21115E-03    0.90475E+03
    0.21328E-03    0.91352E+03
    0.21542E-03    0.92237E+03
    0.21758E-03    0.93131E+03
    0.21977E-03    0.94034E+03
    0.22198E-03    0.94945E+03
    0.22421E-03    0.95865E+03
