# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
7.0979e-02 5.7668e+03 1.6696e+02 -1.9940e+01 1.2337e+04 6.3935e+03 2.0828e+02 7.3250e+02 4.4590e+02 -9.4906e+01 -4.2885e+01 1.1814e+03 7.4023e+02 0.0000e+00 0.0000e+00
7.3891e-02 5.4759e+03 1.6614e+02 -1.7627e+01 1.1771e+04 6.1106e+03 2.1959e+02 7.2568e+02 4.6274e+02 -1.0018e+02 -4.5683e+01 1.1470e+03 7.2135e+02 0.0000e+00 0.0000e+00
7.6923e-02 5.1551e+03 1.6394e+02 -1.4882e+01 1.1136e+04 5.8002e+03 2.3074e+02 7.1853e+02 4.7911e+02 -1.0514e+02 -4.8309e+01 1.1130e+03 7.0253e+02 0.0000e+00 0.0000e+00
8.0079e-02 4.8136e+03 1.6041e+02 -1.1861e+01 1.0456e+04 5.4686e+03 2.4150e+02 7.1105e+02 4.9472e+02 -1.0970e+02 -5.0713e+01 1.0792e+03 6.8376e+02 0.0000e+00 0.0000e+00
8.3365e-02 4.4710e+03 1.5597e+02 -8.7542e+00 9.7695e+03 5.1281e+03 2.5160e+02 7.0324e+02 5.0935e+02 -1.1380e+02 -5.2863e+01 1.0458e+03 6.6505e+02 0.0000e+00 0.0000e+00
8.6786e-02 4.1376e+03 1.5101e+02 -5.7078e+00 9.0965e+03 4.7939e+03 2.6083e+02 6.9511e+02 5.2277e+02 -1.1741e+02 -5.4751e+01 1.0127e+03 6.4641e+02 0.0000e+00 0.0000e+00
9.0346e-02 3.8247e+03 1.4591e+02 -2.8910e+00 8.4652e+03 4.4811e+03 2.6906e+02 6.8666e+02 5.3490e+02 -1.2058e+02 -5.6399e+01 9.7986e+02 6.2787e+02 0.0000e+00 0.0000e+00
9.4053e-02 3.5453e+03 1.4112e+02 -4.5113e-01 7.8991e+03 4.2011e+03 2.7627e+02 6.7791e+02 5.4573e+02 -1.2337e+02 -5.7846e+01 9.4728e+02 6.0948e+02 0.0000e+00 0.0000e+00
9.7912e-02 3.3056e+03 1.3701e+02 1.4981e+00 7.4155e+03 3.9622e+03 2.8256e+02 6.6885e+02 5.5539e+02 -1.2589e+02 -5.9153e+01 9.1489e+02 5.9130e+02 0.0000e+00 0.0000e+00
1.0193e-01 3.1091e+03 1.3382e+02 2.9163e+00 7.0209e+03 3.7682e+03 2.8814e+02 6.5951e+02 5.6413e+02 -1.2826e+02 -6.0382e+01 8.8267e+02 5.7337e+02 0.0000e+00 0.0000e+00
1.0611e-01 2.9511e+03 1.3151e+02 3.8404e+00 6.7077e+03 3.6163e+03 2.9332e+02 6.4989e+02 5.7224e+02 -1.3059e+02 -6.1591e+01 8.5067e+02 5.5576e+02 0.0000e+00 0.0000e+00
1.1047e-01 2.8223e+03 1.2982e+02 4.4102e+00 6.4561e+03 3.4962e+03 2.9842e+02 6.3999e+02 5.8002e+02 -1.3293e+02 -6.2812e+01 8.1893e+02 5.3849e+02 0.0000e+00 0.0000e+00
1.1500e-01 2.7094e+03 1.2829e+02 4.7913e+00 6.2379e+03 3.3930e+03 3.0370e+02 6.2983e+02 5.8769e+02 -1.3531e+02 -6.4045e+01 7.8758e+02 5.2159e+02 0.0000e+00 0.0000e+00
1.1972e-01 2.5978e+03 1.2637e+02 5.1799e+00 6.0215e+03 3.2906e+03 3.0927e+02 6.1940e+02 5.9529e+02 -1.3767e+02 -6.5255e+01 7.5677e+02 5.0505e+02 0.0000e+00 0.0000e+00
1.2463e-01 2.4747e+03 1.2350e+02 5.7545e+00 5.7787e+03 3.1742e+03 3.1504e+02 6.0871e+02 6.0268e+02 -1.3988e+02 -6.6375e+01 7.2663e+02 4.8883e+02 0.0000e+00 0.0000e+00
1.2974e-01 2.3327e+03 1.1939e+02 6.6143e+00 5.4920e+03 3.0342e+03 3.2069e+02 5.9778e+02 6.0948e+02 -1.4180e+02 -6.7322e+01 6.9731e+02 4.7290e+02 0.0000e+00 0.0000e+00
1.3507e-01 2.1729e+03 1.1402e+02 7.7179e+00 5.1632e+03 2.8710e+03 3.2577e+02 5.8660e+02 6.1521e+02 -1.4329e+02 -6.8020e+01 6.6885e+02 4.5722e+02 0.0000e+00 0.0000e+00
1.4061e-01 2.0040e+03 1.0777e+02 8.9220e+00 4.8101e+03 2.6939e+03 3.2979e+02 5.7519e+02 6.1939e+02 -1.4425e+02 -6.8421e+01 6.4127e+02 4.4178e+02 0.0000e+00 0.0000e+00
1.4638e-01 1.8382e+03 1.0123e+02 1.0043e+01 4.4594e+03 2.5168e+03 3.3241e+02 5.6359e+02 6.2174e+02 -1.4468e+02 -6.8523e+01 6.1451e+02 4.2658e+02 0.0000e+00 0.0000e+00
1.5238e-01 1.6882e+03 9.4975e+01 1.0863e+01 4.1402e+03 2.3551e+03 3.3356e+02 5.5181e+02 6.2222e+02 -1.4464e+02 -6.8370e+01 5.8847e+02 4.1166e+02 0.0000e+00 0.0000e+00
1.5864e-01 1.5636e+03 8.9441e+01 1.1227e+01 3.8741e+03 2.2205e+03 3.3346e+02 5.3988e+02 6.2113e+02 -1.4426e+02 -6.8037e+01 5.6306e+02 3.9707e+02 0.0000e+00 0.0000e+00
1.6514e-01 1.4647e+03 8.4668e+01 1.1118e+01 3.6637e+03 2.1149e+03 3.3257e+02 5.2783e+02 6.1899e+02 -1.4371e+02 -6.7610e+01 5.3827e+02 3.8284e+02 0.0000e+00 0.0000e+00
1.7192e-01 1.3834e+03 8.0308e+01 1.0675e+01 3.4916e+03 2.0296e+03 3.3141e+02 5.1567e+02 6.1629e+02 -1.4310e+02 -6.7143e+01 5.1409e+02 3.6900e+02 0.0000e+00 0.0000e+00
1.7897e-01 1.3094e+03 7.5914e+01 1.0047e+01 3.3345e+03 1.9519e+03 3.3024e+02 5.0342e+02 6.1330e+02 -1.4244e+02 -6.6647e+01 4.9063e+02 3.5555e+02 0.0000e+00 0.0000e+00
1.8632e-01 1.2331e+03 7.1122e+01 9.3903e+00 3.1704e+03 1.8698e+03 3.2903e+02 4.9109e+02 6.0994e+02 -1.4170e+02 -6.6092e+01 4.6794e+02 3.4244e+02 0.0000e+00 0.0000e+00
1.9396e-01 1.1493e+03 6.5818e+01 8.8211e+00 2.9872e+03 1.7765e+03 3.2746e+02 4.7869e+02 6.0586e+02 -1.4076e+02 -6.5423e+01 4.4611e+02 3.2964e+02 0.0000e+00 0.0000e+00
2.0192e-01 1.0616e+03 6.0237e+01 8.2981e+00 2.7924e+03 1.6758e+03 3.2510e+02 4.6625e+02 6.0064e+02 -1.3954e+02 -6.4588e+01 4.2511e+02 3.1713e+02 0.0000e+00 0.0000e+00
2.1021e-01 9.7774e+02 5.4711e+01 7.7040e+00 2.6035e+03 1.5772e+03 3.2169e+02 4.5378e+02 5.9407e+02 -1.3799e+02 -6.3581e+01 4.0491e+02 3.0493e+02 0.0000e+00 0.0000e+00
2.1883e-01 9.0370e+02 4.9450e+01 6.9340e+00 2.4351e+03 1.4891e+03 3.1732e+02 4.4132e+02 5.8629e+02 -1.3619e+02 -6.2434e+01 3.8544e+02 2.9305e+02 0.0000e+00 0.0000e+00
2.2781e-01 8.4102e+02 4.4445e+01 5.9502e+00 2.2913e+03 1.4140e+03 3.1234e+02 4.2888e+02 5.7767e+02 -1.3422e+02 -6.1202e+01 3.6665e+02 2.8152e+02 0.0000e+00 0.0000e+00
2.3716e-01 7.8611e+02 3.9544e+01 4.7746e+00 2.1642e+03 1.3476e+03 3.0708e+02 4.1649e+02 5.6856e+02 -1.3218e+02 -5.9932e+01 3.4854e+02 2.7033e+02 0.0000e+00 0.0000e+00
2.4689e-01 7.3376e+02 3.4642e+01 3.4901e+00 2.0418e+03 1.2833e+03 3.0164e+02 4.0415e+02 5.5906e+02 -1.3009e+02 -5.8634e+01 3.3113e+02 2.5948e+02 0.0000e+00 0.0000e+00
2.5702e-01 6.8125e+02 2.9766e+01 2.1818e+00 1.9176e+03 1.2173e+03 2.9588e+02 3.9189e+02 5.4903e+02 -1.2791e+02 -5.7289e+01 3.1444e+02 2.4893e+02 0.0000e+00 0.0000e+00
2.6756e-01 6.2985e+02 2.5006e+01 8.7528e-01 1.7944e+03 1.1509e+03 2.8963e+02 3.7971e+02 5.3831e+02 -1.2559e+02 -5.5872e+01 2.9844e+02 2.3869e+02 0.0000e+00 0.0000e+00
2.7854e-01 5.8219e+02 2.0387e+01 -4.6359e-01 1.6786e+03 1.0879e+03 2.8283e+02 3.6764e+02 5.2687e+02 -1.2313e+02 -5.4383e+01 2.8312e+02 2.2875e+02 0.0000e+00 0.0000e+00
2.8997e-01 5.3939e+02 1.5874e+01 -1.8745e+00 1.5730e+03 1.0303e+03 2.7561e+02 3.5570e+02 5.1488e+02 -1.2056e+02 -5.2845e+01 2.6843e+02 2.1913e+02 0.0000e+00 0.0000e+00
3.0187e-01 5.0037e+02 1.1448e+01 -3.3602e+00 1.4754e+03 9.7679e+02 2.6814e+02 3.4389e+02 5.0251e+02 -1.1794e+02 -5.1283e+01 2.5435e+02 2.0981e+02 0.0000e+00 0.0000e+00
3.1425e-01 4.6352e+02 7.1539e+00 -4.8930e+00 1.3821e+03 9.2511e+02 2.6046e+02 3.3223e+02 4.8982e+02 -1.1527e+02 -4.9707e+01 2.4089e+02 2.0079e+02 0.0000e+00 0.0000e+00
3.2715e-01 4.2843e+02 3.0384e+00 -6.4344e+00 1.2920e+03 8.7469e+02 2.5253e+02 3.2073e+02 4.7677e+02 -1.1255e+02 -4.8111e+01 2.2801e+02 1.9206e+02 0.0000e+00 0.0000e+00
3.4057e-01 3.9560e+02 -9.1123e-01 -7.9642e+00 1.2066e+03 8.2637e+02 2.4433e+02 3.0941e+02 4.6337e+02 -1.0976e+02 -4.6492e+01 2.1571e+02 1.8361e+02 0.0000e+00 0.0000e+00
3.5454e-01 3.6531e+02 -4.7251e+00 -9.4904e+00 1.1265e+03 7.8068e+02 2.3593e+02 2.9826e+02 4.4970e+02 -1.0692e+02 -4.4859e+01 2.0396e+02 1.7544e+02 0.0000e+00 0.0000e+00
3.6909e-01 3.3721e+02 -8.3930e+00 -1.1017e+01 1.0510e+03 7.3724e+02 2.2737e+02 2.8731e+02 4.3582e+02 -1.0405e+02 -4.3223e+01 1.9274e+02 1.6755e+02 0.0000e+00 0.0000e+00
3.8423e-01 3.1090e+02 -1.1877e+01 -1.2529e+01 9.7937e+02 6.9557e+02 2.1869e+02 2.7655e+02 4.2177e+02 -1.0115e+02 -4.1589e+01 1.8204e+02 1.5993e+02 0.0000e+00 0.0000e+00
4.0000e-01 2.8633e+02 -1.5169e+01 -1.4004e+01 9.1144e+02 6.5560e+02 2.0990e+02 2.6601e+02 4.0757e+02 -9.8226e+01 -3.9957e+01 1.7183e+02 1.5257e+02 0.0000e+00 0.0000e+00
