# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
2.7327e-03 6.8548e+03 6.3897e-01 -3.2931e-01 1.3625e+04 7.4081e+03 -1.6993e-01 8.4044e+02 1.3418e+00 1.1806e+00 8.2864e-01 2.2358e+03 1.4872e+03 0.0000e+00 0.0000e+00
2.8448e-03 7.0731e+03 7.1403e-01 -3.7058e-01 1.4087e+04 7.5739e+03 -1.8176e-01 8.4042e+02 1.4550e+00 1.2734e+00 8.9412e-01 2.2353e+03 1.4866e+03 0.0000e+00 0.0000e+00
2.9615e-03 7.2971e+03 7.9794e-01 -4.1669e-01 1.4559e+04 7.7466e+03 -1.9419e-01 8.4040e+02 1.5778e+00 1.3731e+00 9.6446e-01 2.2348e+03 1.4860e+03 0.0000e+00 0.0000e+00
3.0830e-03 7.5271e+03 8.9172e-01 -4.6817e-01 1.5042e+04 7.9267e+03 -2.0722e-01 8.4038e+02 1.7111e+00 1.4800e+00 1.0400e+00 2.2342e+03 1.4853e+03 0.0000e+00 0.0000e+00
3.2095e-03 7.7628e+03 9.9652e-01 -5.2557e-01 1.5535e+04 8.1141e+03 -2.2084e-01 8.4035e+02 1.8557e+00 1.5947e+00 1.1210e+00 2.2336e+03 1.4845e+03 0.0000e+00 0.0000e+00
3.3412e-03 8.0045e+03 1.1136e+00 -5.8953e-01 1.6037e+04 8.3088e+03 -2.3501e-01 8.4032e+02 2.0126e+00 1.7175e+00 1.2079e+00 2.2329e+03 1.4837e+03 0.0000e+00 0.0000e+00
3.4783e-03 8.2519e+03 1.2443e+00 -6.6071e-01 1.6550e+04 8.5111e+03 -2.4969e-01 8.4029e+02 2.1829e+00 1.8489e+00 1.3010e+00 2.2322e+03 1.4828e+03 0.0000e+00 0.0000e+00
3.6210e-03 8.5051e+03 1.3903e+00 -7.3986e-01 1.7072e+04 8.7211e+03 -2.6481e-01 8.4026e+02 2.3678e+00 1.9894e+00 1.4006e+00 2.2314e+03 1.4819e+03 0.0000e+00 0.0000e+00
3.7696e-03 8.7639e+03 1.5532e+00 -8.2778e-01 1.7602e+04 8.9386e+03 -2.8031e-01 8.4022e+02 2.5684e+00 2.1395e+00 1.5071e+00 2.2305e+03 1.4809e+03 0.0000e+00 0.0000e+00
3.9243e-03 9.0283e+03 1.7350e+00 -9.2537e-01 1.8142e+04 9.1637e+03 -2.9608e-01 8.4018e+02 2.7862e+00 2.2996e+00 1.6210e+00 2.2296e+03 1.4798e+03 0.0000e+00 0.0000e+00
4.0853e-03 9.2981e+03 1.9376e+00 -1.0336e+00 1.8689e+04 9.3965e+03 -3.1198e-01 8.4014e+02 3.0227e+00 2.4703e+00 1.7424e+00 2.2286e+03 1.4786e+03 0.0000e+00 0.0000e+00
4.2529e-03 9.5729e+03 2.1634e+00 -1.1535e+00 1.9245e+04 9.6367e+03 -3.2786e-01 8.4009e+02 3.2794e+00 2.6520e+00 1.8720e+00 2.2275e+03 1.4774e+03 0.0000e+00 0.0000e+00
4.4274e-03 9.8528e+03 2.4148e+00 -1.2863e+00 1.9807e+04 9.8842e+03 -3.4352e-01 8.4004e+02 3.5582e+00 2.8452e+00 2.0099e+00 2.2263e+03 1.4760e+03 0.0000e+00 0.0000e+00
4.6091e-03 1.0137e+04 2.6947e+00 -1.4331e+00 2.0377e+04 1.0139e+04 -3.5870e-01 8.3999e+02 3.8610e+00 3.0503e+00 2.1565e+00 2.2251e+03 1.4745e+03 0.0000e+00 0.0000e+00
4.7982e-03 1.0426e+04 3.0059e+00 -1.5954e+00 2.0952e+04 1.0401e+04 -3.7313e-01 8.3993e+02 4.1898e+00 3.2677e+00 2.3123e+00 2.2237e+03 1.4730e+03 0.0000e+00 0.0000e+00
4.9950e-03 1.0719e+04 3.3516e+00 -1.7745e+00 2.1533e+04 1.0669e+04 -3.8643e-01 8.3987e+02 4.5469e+00 3.4977e+00 2.4775e+00 2.2222e+03 1.4713e+03 0.0000e+00 0.0000e+00
5.2000e-03 1.1015e+04 3.7354e+00 -1.9720e+00 2.2119e+04 1.0943e+04 -3.9820e-01 8.3980e+02 4.9349e+00 3.7407e+00 2.6524e+00 2.2206e+03 1.4695e+03 0.0000e+00 0.0000e+00
5.4134e-03 1.1313e+04 4.1610e+00 -2.1895e+00 2.2709e+04 1.1224e+04 -4.0793e-01 8.3973e+02 5.3564e+00 3.9968e+00 2.8373e+00 2.2189e+03 1.4675e+03 0.0000e+00 0.0000e+00
5.6355e-03 1.1614e+04 4.6325e+00 -2.4285e+00 2.3302e+04 1.1509e+04 -4.1502e-01 8.3965e+02 5.8142e+00 4.2663e+00 3.0324e+00 2.2171e+03 1.4655e+03 0.0000e+00 0.0000e+00
5.8667e-03 1.1917e+04 5.1540e+00 -2.6908e+00 2.3897e+04 1.1799e+04 -4.1880e-01 8.3956e+02 6.3118e+00 4.5492e+00 3.2379e+00 2.2151e+03 1.4632e+03 0.0000e+00 0.0000e+00
6.1074e-03 1.2221e+04 5.7302e+00 -2.9782e+00 2.4493e+04 1.2094e+04 -4.1843e-01 8.3947e+02 6.8524e+00 4.8454e+00 3.4538e+00 2.2129e+03 1.4608e+03 0.0000e+00 0.0000e+00
